"date","open","high","low","close","volume","adjusted"
2009-01-02,32.540001,33.799999,32.540001,33.669998,3787400,26.809996
2009-01-05,33.450001,34.169998,32.740002,33.82,4469100,26.929438
2009-01-06,32.91,33.950001,32.810001,33.400002,4020100,26.595007
2009-01-07,32.860001,34.049999,31.540001,33.779999,5442100,26.897581
2009-01-08,33.259998,33.650002,33.189999,33.439999,3203800,26.626854
2009-01-09,33.5,34.119999,33.110001,33.73,4375800,26.857779
2009-01-12,33.650002,33.650002,32.619999,33.029999,4756400,26.30039
2009-01-13,33.049999,34.799999,32.599998,34.07,8009800,27.128498
2009-01-14,33.860001,33.860001,31.799999,32.439999,7292400,25.830599
2009-01-15,32.299999,32.919998,31.360001,32.650002,4892400,25.99782
2009-01-16,33,33.189999,32.060001,32.68,4162900,26.021704
2009-01-20,32.48,32.700001,31.74,31.879999,5273800,25.384695
2009-01-21,32.5,33.450001,31.9,32.98,4841900,26.260582
2009-01-22,32.810001,32.810001,31.549999,31.66,6358200,25.20952
2009-01-23,30.91,31.84,30.91,31.379999,3644200,24.98657
2009-01-26,31.68,32.299999,31,32.02,3890500,25.496172
2009-01-27,32.009998,32.740002,31.799999,32.380001,2971800,25.782827
2009-01-28,32.450001,33.450001,31.950001,33.169998,3492200,26.411865
2009-01-29,32.639999,32.740002,31.5,32.169998,3337200,25.615608
2009-01-30,32.34,32.34,31.290001,31.559999,5184200,25.129896
2009-02-02,31.219999,31.9,30.93,31.809999,2680700,25.328959
2009-02-03,31.690001,32.990002,31.42,32.880001,5120400,26.180956
2009-02-04,32.880001,33.439999,32.779999,33.110001,3291100,26.36409
2009-02-05,32.869999,32.869999,31.870001,32.610001,4022900,25.965967
2009-02-06,32.700001,33.330002,32.32,33.119999,2740100,26.372055
2009-02-09,33.060001,33.360001,32.560001,33,2333700,26.276505
2009-02-10,32.52,33.25,31.92,32.009998,3738600,25.488211
2009-02-11,32.349998,32.5,31.700001,31.889999,3524900,25.392662
2009-02-12,31.620001,31.65,30.559999,31.459999,4933600,25.05027
2009-02-13,31.139999,31.9,30.530001,30.950001,4453000,24.644175
2009-02-17,30.690001,30.9,29.969999,30.33,4051700,24.150501
2009-02-18,30.01,31.68,30.01,31.01,4896900,24.691956
2009-02-19,31.190001,31.639999,30.709999,30.809999,3429500,24.532701
2009-02-20,29.59,30.639999,29.5,29.98,4982700,23.871809
2009-02-23,30.35,30.35,28.870001,28.889999,3443900,23.003885
2009-02-24,29.059999,29.389999,28.48,29.290001,3295200,23.32239
2009-02-25,29.08,30.02,29.030001,29.639999,3430000,23.601074
2009-02-26,30.01,30.209999,28.790001,28.98,3634500,23.075546
2009-02-27,28.530001,29.690001,28.059999,29.190001,3819100,23.242762
